Country,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,latitude,longitude
Algeria,17391957,66471890,11865012,14913351,-3048339,24,8295155,829375,37973,3360,34613,-2184351,28.033886,1.659626
Angola,6437910,23204403,4911848,2626883,2284965,154404,803904,18426,47171,1135,46036,2349427,-11.202692,17.873887
Benin,2063513,7661617,1267435,1104536,162899,121423,871898,42145,165389,92,165297,370341,9.30769,2.315834
Botswana,2871156,10228169,1343081,1549943,-206862,156629,787761,26702,922,80,842,-179318,-22.328474,24.684866
Burkina,3446550,11125710,2114900,1839334,275566,540113,2261844,117625,9262,1515,7747,400938,12.238333,-1.561593
Burundi,1369885,8399868,749822,550406,199416,,524848,34592,51314,1824,49490,283498,-3.373056,29.918886
Cameroon,8160947,39745124,7350153,7132625,217528,396811,3884953,338394,112256,720,111536,667458,7.369722,12.354722
Canary Island,0,0,0,0,0,0,0,0,0,0,0,0,44.3658854,-75.8768999
Cape Verde,1495302,9515897,1709549,1696287,13262,421,75557,10887,209,221,-12,24137,15.1217288,-23.6050817
Central African Republic,699662,1932205,559860,542810,17050,,77815,19710,0,0,0,36760,6.611111,20.939444
Chad,2382460,7345009,1194368,1195842,-1474,,24883,4480,4646,3704,942,3948,15.454166,18.732207
Comoros,663394,3513924,983687,1020126,-36439,7215,56855,5235,224364,0,224364,193160,-11.6455,43.3333
Congo,2560122,6749177,2042786,1921257,121529,,296858,74172,17678,4907,12771,208472,-0.228021,15.827659
Cote d'Ivoire,7758597,26199928,5945613,3533772,2411841,22,3662671,177216,29921,3931,25990,2615047,7.539989,-5.54708
Djibouti,606669,1935233,691547,749814,-58267,92635,305908,9533,1924,0,1924,-46810,11.825138,42.590275
Egypt,61581782,320620081,29367186,30194785,-827599,5417391,22104621,300031,46871,300413,-253542,-781110,26.820553,30.802498
Equatorial Guinea,1565310,4106209,872797,698036,174761,93363,291803,18687,336,55,281,193729,1.650801,10.267895
Ethiopia,46213917,228481150,46203962,48797158,-2593196,1415526,5713183,393141,629568,10278,619290,-1580765,9.145,40.489673
Gabon,1402179,5339716,1287032,928097,358935,413590,1208339,134106,1525756,217,1525539,2018580,-0.803689,11.609444
Gambia,5621194,21493862,7005468,7020504,-15036,,973039,301973,17009,2556,14453,301390,13.443182,-15.310139
Ghana,32026312,185677422,30265702,27316048,2949654,7747150,41361381,1087567,1633029,45705,1587324,5624545,7.946527,-1.023194
Guinea,7732352,27827343,7897277,10046696,-2149419,,687839,144964,19226,4428,14798,-1989657,9.945587,-9.696645
Guinea-Bissau,458059,1639889,557364,626438,-69074,,4744,1200,265,16,249,-67625,11.803749,-15.180413
Kenya,13567101,91827417,8746161,7028348,1717813,46417,2325511,147972,60891,1634,59257,1925042,-0.023559,37.906193
Lesotho,761928,1770729,302768,241918,60850,5498,32483,2056,100432,49,100383,163289,-29.609988,28.233608
Liberia,3953652,19239404,3756468,3023510,732958,,90559,13041,2003,805,1198,747197,6.428055,-9.429499
Libya,12925978,36857407,9022640,12536199,-3513559,599337,1613328,54634,14078,116,13962,-3444963,26.3351,17.228331
Madagascar,1646179,4782751,2567588,3025526,-457938,,110539,24358,1092,457,635,-432945,-18.766947,46.869107
Malawi,7291648,15127221,1419460,1296610,122850,167494,1171666,59543,1875,73,1802,184195,-13.254308,34.301525
Mali,16830844,43027805,9029110,7917007,1112103,449819,2848682,365977,10278,2166,8112,1486192,17.570692,-3.996166
Mauritania,2126908,7392553,1702044,1741855,-39811,60,499501,25748,134,129,5,-14058,21.00789,-10.940835
Mauritius,2090024,11248035,1097358,637673,459685,110962,15539238,631112,241086,456,240630,1331427,-20.348404,57.552152
Morocco,43657148,166214436,34894994,44157585,-9262591,1551279,13934410,759157,29933,3542,26391,-8477043,31.791702,-7.09262
Mozambique,10942433,14410429,1549903,1272971,276932,13,549964,11395,363,105,258,288585,-18.665695,35.529562
Namibia,1039771,4201446,693292,568427,124865,32,241908,10049,1045,462,583,135497,-22.95764,18.49041
Niger,4296632,13655206,2244411,1939737,304674,,15252,1822,855575,8,855567,1162063,17.607789,8.081666
Nigeria,62258142,318561797,28052009,19514764,8537245,32391204,60064272,1993095,4957467,34100,4923367,15453707,9.081999,8.675277
