country,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,latitude,longitude
Afghanistan,18979612,72521801,15507333,15011962,495371,2212551,25313397,2864441,3293452,478,3292974,6652786,33.93911,67.709953
Bangladesh,25764287,155984964,5669517,5736560,-67043,2358955,12812961,143407,2120783,129175,1991608,2067972,23.684994,90.356331
Bhutan,141839,758616,82354,59627,22727,,13493,1164,11099,909,10190,34081,27.514162,90.433601
Brunei,2739859,12735450,355200,267944,87256,130129,539897,8024,723,146,577,95857,4.535277,114.727669
Burma,9325800,23555194,5307976,8464321,-3156345,21,241812,43186,11922,1248,10674,-3102485,21.913965,95.956223
Cambodia,8852327,91587497,3922680,3247796,674884,843443,1910546,86362,218509,26,218483,979729,12.565679,104.990963
Chagos Archipelago,217782,442548,428074,217578,210496,564,4879,352,9272,624,8648,219496,-6,72
China,221222361,1051104866,68563484,38256613,30306871,44915601,220479539,3565369,1374689,31180,1343509,35215749,35.86166,104.195397
French Southern and Antarctic Lands,1333,9844,2187,482,1705,0,0,0,0,0,0,1705,-49.280366,69.348557
Hong Kong,25369045,178077543,9176809,2610387,6566422,17730009,117279409,2513087,15395555,10408,15385147,24464656,22.396428,114.109497
India,4155250440,15924675029,460397957,324806582,135591375,493229542,1622577379,37242200,30510127,24264,30485863,203319438,20.593684,78.96288
Indonesia,28236419,118907610,7243036,5269214,1973822,3751530,20764616,360715,249087,5784,243303,2577840,-0.789275,113.921327
Japan,81947138,432360902,38722148,29172307,9549841,55996497,352915940,10094718,4267754,91962,4175792,23820351,36.204824,138.252924
North Korea,1464105,9766595,3974099,3371389,602710,,303807,161158,17232,120527,-103295,660573,40.339852,127.510093
South Korea,62716782,284275690,19239141,14104487,5134654,63594760,306869248,12035003,3235012,50,3234962,20404619,35.907757,127.766922
Laos,3908047,25349670,1064252,951809,112443,,945163,35596,4884,2557,2327,150366,19.85627,102.495496
Macau,2172725,7305900,455253,743595,-288342,5486165,20473058,509215,39223,274,38949,259822,22.198745,113.543873
Malaysia,32504004,134182463,10040563,3570149,6470414,9533100,48382126,1323666,2590442,1510,2588932,10383012,4.210484,101.975766
Maldives,3903876,9026626,4085653,5825616,-1739963,27612,118677,16547,19398,3842,15556,-1707860,3.9870284,73.4977747
Mongolia,1045064,5763823,466581,351680,114901,73811,341543,6536,7698,87,7611,129048,46.862496,103.846656
Nepal,33208660,88215060,10041758,10412057,-370299,665310,1733201,106768,1166744,4756942,-3590198,-3853729,28.394857,84.124008
Pakistan,61298942,286059585,15052890,11971365,3081525,11616096,87880044,1339653,2697353,4824541,-2127188,2293990,30.375321,69.345116
Philippines,319926414,2073035963,247791260,263677882,-15886622,39610130,277894337,14440441,9195923,120419,9075504,7629323,12.879721,121.774017
Singapore,27930670,201626457,13500905,2993179,10507726,16760410,118324464,1330579,5975563,895,5974668,17812973,1.352083,103.819836
Sri Lanka,38616989,205411187,18528618,19588915,-1060297,2529175,15129927,451297,1536368,2416275,-879907,-1488907,7.873054,80.771797
Taiwan,57813668,321764907,22435202,20664570,1770632,25482064,136132904,5059523,12534490,658,12533832,19363987,23.69781,120.960515
Thailand,33753941,170596982,7108116,3267429,3840687,10384186,56527996,656112,17777,10361,7416,4504215,15.870032,100.992541
Vietnam,31300033,229713967,14179318,13924640,254678,17654169,58535546,616692,17770,8078,9692,881062,14.058324,108.277199
