country,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,latitude,longitude
Anguilla,744138,2070736,485158,294606,190552,55962,226023,2962,207716,98049,109667,303181,18.220554,-63.068615
Antigua and Barbuda,6836363,22508388,2909732,2488085,421647,187117,841524,14523,116346,45119,71227,507397,17.060816,-61.796428
Aruba,4898683,13540921,2205289,1985481,219808,1901039,5219100,38632,222724,119688,103036,361476,12.52111,-69.968338
The Bahamas,32813132,96115991,8013079,4844240,3168839,20323474,69643979,2180311,6806586,4215,6802371,12151521,25.03428,-77.39628
Barbados,9395528,29636048,4542980,3186639,1356341,12559214,37755105,843947,919344,36965,882379,3082667,13.193887,-59.543198
Bermuda,10528500,36454649,2472135,1349978,1122157,5451227,34531989,378481,5109,1374,3735,1504373,32.3078,-64.7505
Cayman Islands,10044794,26392526,3430693,2941560,489133,3460895,9754123,179198,20887,7773,13114,681445,19.3133,-81.2546
Cuba,32961947,139327724,83065308,96714340,-13649032,2,2191199,1421529,18455,14918,3537,-12223966,21.521757,-77.781167
Dominica,10385809,78024874,4170431,3338111,832320,56050,563794,18996,285268,156297,128971,980287,15.414999,-61.370976
Dominican Republic,281057450,2106136034,114478541,89701311,24777230,124602398,275449256,8943997,5468848,2225667,3243181,36964408,18.735693,-70.162651
French Overseas Departments,2104762,5825602,1352279,474257,878022,,135454,2501,36786,11407,25379,905902,0,0
Grenada,3088953,14686212,2313216,1869718,443498,152752,656296,17340,34786,14569,20217,481055,12.1165,-61.679
Guadeloupe,3043708,7601462,763472,915351,-151879,,195117,3004,660333,279116,381217,232342,16.265,-61.551
Haiti,126199516,525112113,99546203,98645809,900394,14434659,41976280,2632096,5278846,3636337,1642509,5174999,18.971187,-72.285215
Jamaica,109824777,371535313,57241663,49764471,7477192,159490032,694862797,15012208,9010116,677592,8332524,30821924,18.109581,-77.297508
Montserrat,491107,2006110,265908,220833,45075,21719,90398,1797,11078,3761,7317,54189,16.742498,-62.187366
Netherlands Antilles,13789425,39324214,3685812,5062661,-1376849,5598678,15029461,177696,4617750,3502231,1115519,-83634,12.2248767,-68.8108849
Saint Kitts and Nevis,4467721,12600545,2315041,2004948,310093,65196,291606,10519,189541,91880,97661,418273,17.357822,-62.782998
Saint Lucia,4453013,17749308,2936843,2812809,124034,197942,913618,35482,148846,74736,74110,233626,13.909444,-60.978893
Saint Vincent and the Grenadines,1705714,9118763,1714283,1320468,393815,2405,488939,70290,50105,23775,26330,490435,13.2533835,-61.19595
Trinidad and Tobago,32601474,181513045,15402266,10852619,4549647,19711914,81539736,2157794,571846,54236,517610,7225051,10.691803,-61.222503
Turks and Caicos Islands,3977652,10442351,2589774,1488426,1101348,692204,1842779,20774,4117,2248,1869,1123991,21.694025,-71.797928
British Virgin Islands,5634772,11140391,2433655,1585304,848351,3211515,8275272,211007,44825,24713,20112,1079470,18.420695,-64.639968
Navassa Island,0,0,0,0,0,0,0,0,0,0,0,0,18.4100689,-75.0114612
Puerto Rico,3226,35550,1615,456,1159,0,0,0,0,0,0,1159,18.220833,-66.590149
U.S. Virgin Islands,4172874,20162431,193860,180749,13111,,333554,3085,95978,22713,73265,89461,18.335765,-64.896335
