country,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,30.230849,-95.298833
Albania,3593027,22513517,2503191,2432157,71034,35901,3288688,88370,27840,182,27658,187062,41.153332,20.168331
Armenia,4044002,24613569,2012425,2259462,-247037,13317,279606,16630,1289,171,1118,-229289,40.069099,45.038189
Azerbaijan,3660130,7963929,1717968,1978718,-260750,329786,910982,18065,552,88,464,-242221,40.143105,47.576927
Belarus,3433252,15666338,3950381,5424533,-1474152,36763,369280,30163,2642,1091,1551,-1442438,53.709807,27.953389
Bosnia and Herzegovina,3049408,22871919,3790550,2991984,798566,196346,1829948,99022,241508,59,241449,1139037,43.915886,17.679076
Bulgaria,16324846,78064039,17011130,24512021,-7500891,2113502,12829806,749700,158340,18848,139492,-6611699,42.733883,25.48583
Croatia,3182333,29968278,1977184,1165857,811327,6110,2321512,71015,53031,3001,50030,932372,45.7533427,15.9891256
Czech Republic,5600762,35630806,4708629,2871814,1836815,3505345,17102235,159800,27203,1910,25293,2021908,49.817492,15.472962
Estonia,4564510,14938650,5256864,4064116,1192748,236668,1424371,147253,903,387,516,1340517,58.595272,25.013607
Georgia,3842609,14306866,1192953,750008,442945,684139,1435003,14507,695,553,142,457594,42.315407,43.356892
Hungary,5635914,54625645,4190354,1929622,2260732,6825,1988030,50696,155048,778,154270,2465698,47.162494,19.503304
Kazakhstan,5733646,25155962,1819130,1466661,352469,128708,662676,13276,1342,545,797,366542,48.019573,66.923684
Kyrgyzstan,2135365,7980954,840725,647089,193636,,74531,6265,276,26,250,200151,41.20438,74.766098
Latvia,2780308,18388257,7609384,5729349,1880035,163270,1170885,49899,141392,180,141212,2071146,56.879635,24.603189
Lithuania,1777867,15618002,5184264,3697064,1487200,108056,1018359,13685,119678,156,119522,1620407,55.169438,23.881275
Moldova,3936651,12287634,1535876,1629881,-94005,4848,85409,8226,293717,6922,286795,201016,47.411631,28.369885
Poland,175328489,663389331,28072036,21104515,6967521,1958244,29713539,435365,925771,7705,918066,8320952,51.919438,19.145136
Romania,7901793,63958196,3550898,2025854,1525044,478076,8728522,141486,250116,10240,239876,1906406,45.943161,24.96676
Russia,33334587,188445757,12939634,7394779,5544855,16940545,58727422,1484978,5829605,6541,5823064,12852897,61.52401,105.318756
Serbia,9968667,76763430,9354564,7945546,1409018,531480,6171028,270636,12390,3928,8462,1688116,44.016521,21.005859
Slovakia,2082189,15882894,2445636,686865,1758771,1123418,6107766,61795,600033,1025,599008,2419574,48.669026,19.699024
Slovenia,2354596,15653727,4690741,3940220,750521,413368,2287076,91690,99986,111,99875,942086,46.151241,14.995463
Tajikistan,1830792,3833577,460916,414683,46233,,197441,15343,584,1585,-1001,60575,38.861034,71.276093
Turkmenistan,852233,2980295,305050,287880,17170,0,0,0,259,3,256,17426,38.969719,59.556278
Ukraine,20974985,104747907,11515792,10106864,1408928,844859,7060085,284696,119241,6163,113078,1806702,48.379433,31.16558
Uzbekistan,28949090,134474860,8024857,7308667,716190,223703,981842,41610,1930,1481,449,758249,41.377491,64.585262
