country,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,latitude,longitude
Bahrain,4272525,18743064,1865267,790590,1074677,3722663,12388966,101166,724229,68190,656039,1831882,26.0667,50.5577
Iran,29452882,108084285,9379717,11695021,-2315304,3443429,25802457,1062017,60280,68160,-7880,-1261167,32.427908,53.688046
Iraq,19256917,88565548,8747057,6893189,1853868,1205,3365159,259033,104110,113831,-9721,2103180,33.223191,43.679291
Israel,41046503,273787620,20316195,14271056,6045139,55984424,304339089,5282073,7466782,21300,7445482,18772694,31.046051,34.851612
Jordan,11074853,63386622,7105777,4750891,2354886,4344119,28306125,615406,3315595,10845,3304750,6275042,30.585164,36.238414
Kuwait,13870253,45452772,4925652,4057882,867770,5060208,20857057,245770,260143,76587,183556,1297096,29.31166,47.481766
Lebanon,46227429,311259468,32671186,29125416,3545770,1176488,26108157,2315574,103577,37533,66044,5927388,33.854721,35.862285
Oman,6063389,19695880,4392531,4016053,376478,1076267,4393861,66670,57502,29988,27514,470662,21.512583,55.923255
Qatar,18876777,43017451,7238814,7334318,-95504,8886564,30481783,281360,123276,27072,96204,282060,25.354826,51.183884
Saudi Arabia,58959410,165317357,22023586,18923921,3099665,23623289,68837433,734529,3430430,793412,2637018,6471212,23.885942,45.079162
Syria,21951856,103885484,12383095,12096713,286382,1511424,6815503,427313,31560,25285,6275,719970,34.802075,38.996815
United Arab Emirates,32481447,119625595,21145880,15467533,5678347,15786609,64665245,1182006,1456711,188845,1267866,8128219,23.424076,53.847818
Yemen,11265690,64482489,8419813,8563971,-144158,639251,2813604,65887,7777,1677,6100,-72171,15.552727,48.516388
