country,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,latitude,longitude
Belize,7262109,37030140,8657868,6806183,1851685,2663406,9987046,237471,6136,1230,4906,2094062,17.189877,-88.49765
Canada,2570846122,8045563961,205927022,78657520,127269502,3250790988,10993768117,63840349,51206090,7610193,43595897,234705748,56.130366,-106.346771
Costa Rica,56154640,293826109,16958183,21184312,-4226129,9683041,45664760,2223367,5510,1379,4131,-1998631,9.748917,-83.753428
El Salvador,55084576,411062438,57454814,52639767,4815047,111250334,589300491,14986684,2191782,804,2190978,21992709,13.794185,-88.89653
Guatemala,198654915,1404803568,148606874,112099192,36507682,52135836,254430457,6439870,1125073,116246,1008827,43956379,15.783471,-90.230759
Honduras,52698993,315487944,44973656,38745360,6228296,25212436,120345759,3952885,2689134,29979,2659155,12840336,15.199999,-86.241905
Mexico,854992607,8147916490,542159932,360373335,181786597,378670088,1688976726,41306793,8154270,386043,7768227,230861617,23.634501,-102.552784
Nicaragua,29989238,145028101,27518116,18751794,8766322,25172646,78455384,1159394,855025,2039,852986,10778702,12.865416,-85.207229
Panama,20263133,99216674,9554223,7085171,2469052,12336645,43864386,700448,2007445,11232,1996213,5165713,8.537981,-80.782127
Saint Pierre and Miquelon,29966,67306,16023,16922,-899,,2006,365,149,1,148,-386,46.8852,-56.3159
Alaska,5347,43380,2377,1095,1282,0,0,0,0,0,0,1282,64.2008413,-149.4936733
United States (conterminous),2331282,15441168,784435,225120,559315,16662605,60081274,21798,0,0,0,581113,38.1132523,-121.4955075
