country,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,latitude,longitude
Australia,154841332,530605573,41112576,17407246,23705330,51136564,436399622,6534835,7122160,4378,7117782,37357947,-25.274398,133.775136
Cook Islands,232771,778730,408592,292300,116292,,17400,9178,2,0,2,125472,-21.236736,-159.777671
Fiji,2317031,14139729,2485751,2284746,201005,154502,2212936,244008,8710,80,8630,453643,-17.713371,178.065032
French Polynesia,1151928,4335087,1078823,852723,226100,102273,352723,20244,204,56,148,246492,-17.679742,-149.406843
Kiribati,106894,425190,197412,169671,27741,,3808,1857,3,0,3,29601,1.8668577,-157.3599202
Marshall Islands,1101988,5270242,1081066,1081437,-371,962,17365,953,39,34,5,587,7.131474,171.184478
Federated States of Micronesia,2372128,15150035,2994327,1666916,1327411,32130,515341,6791,240,73,167,1334369,6.8874574,158.2150717
Nauru,53156,157030,93539,63705,29834,,2676,2192,60,8,52,32078,-0.522778,166.931503
New Caledonia,373266,1612280,266267,250184,16083,,76430,10681,415,69,346,27110,-20.904305,165.618042
New Zealand,23090551,105417288,8802682,6251548,2551134,45880875,243230638,2495531,5891293,1151169,4740124,9786789,-40.900557,174.885971
Niue,8928,20909,11903,11015,888,,2781,1589,9,0,9,2486,-19.054445,-169.867233
Norfolk Island,26981,126998,122506,103688,18818,,9184,7935,2027,0,2027,28780,-29.040835,167.954712
Pacific Islands (Palau),999287,8615202,1305515,932259,373256,62922,77770,6773,77,5,72,380101,0,0
Papua New Guinea,3651951,16978460,3137319,2349108,788211,,249391,115829,284,723,-439,903601,-6.314993,143.95555
Solomon Islands,130026,429383,330457,328236,2221,,43458,36168,197,180,17,38406,-9.64571,160.156194
Tonga,993147,5657972,1589832,1709864,-120032,,301186,82764,662,3,659,-36609,-21.178986,-175.198242
Tuvalu,78196,218013,137953,127077,10876,,702,531,14,1,13,11420,-10.7280717,179.4726562
Vanuatu,239030,611838,290215,211776,78439,,26620,10392,154,76,78,88909,-15.376706,166.959158
Wallis and Futuna,13071,28492,12213,10119,2094,,763,253,3,0,3,2350,-14.2938,-178.1165
Western Samoa,738696,4546423,1221093,1179448,41645,64685,642693,97706,1,1,0,139351,-13.759029,-172.104629
American Samoa,1012891,8028168,515118,377286,137832,795287,2016439,81842,39730,2064,37666,257340,-14.305941,-170.6962002
Baker Island,0,0,0,0,0,0,0,0,0,0,0,0,55.3857232,-133.5603123
Guam,6516078,30736499,438735,348038,90697,953094,4420460,59289,110,17,93,150079,13.444304,144.793731
Hawaii,349689,2176982,143325,37056,106269,0,0,0,0,0,0,106269,19.8967662,-155.5827818
Howland Island,0,0,0,0,0,0,0,0,0,0,0,0,0.8065705,-176.6182736
Jarvis Island,0,0,0,0,0,0,0,0,0,0,0,0,-0.3810415,-160.017563
Johnston Atoll,0,0,0,0,0,0,0,0,0,0,0,0,16.7322716,-169.5308371
Kingman Reef,0,0,0,0,0,0,0,0,0,0,0,0,6.4125256,-162.3759767
Midway Atoll,0,0,0,0,0,0,0,0,0,0,0,0,36.2826889,-82.4596547
Northern Mariana Islands,1954699,14256912,308346,199160,109186,,1136,24,2303,12,2291,111501,15.0979,145.6739
Palmyra Atoll,0,0,0,0,0,0,0,0,0,0,0,0,5.8811111,-162.0725
Wake Island,0,0,0,0,0,0,0,0,591,140,451,451,19.2854467,166.6499348
