country,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,latitude,longitude
Antarctica,1214219,2749433,187676,265654,-77978,,40,30,2,0,2,-77946,-82.8627519,-135
Maritime-Atlantic,65956,298132,436033,337810,98223,0,0,0,2923,1713,1210,99433,44.6476401,-63.571169
Maritime-other oceans,698282,1123456,2462190,2117441,344749,,11163,41158,0,0,0,385907,0,0
Maritime-Pacific,90422,224010,274162,226541,47621,0,0,0,0,0,0,47621,47.5876968,-122.3393056
American Samoa,1165391,3102501,847152,847152,0,68843,224031,37707,0,0,0,37707,-14.305941,-170.6962002
Baker Island,0,0,0,0,0,0,0,0,0,0,0,0,55.3857232,-133.5603123
Howland Island,0,0,0,0,0,0,0,0,0,0,0,0,0.8065705,-176.6182736
Jarvis Island,0,0,0,0,0,0,0,0,0,0,0,0,-0.3810415,-160.017563
Johnston Atoll,0,0,0,0,0,0,0,0,0,0,0,0,16.7322716,-169.5308371
Kingman Reef,0,0,0,0,0,0,0,0,0,0,0,0,6.4125256,-162.3759767
Midway Atoll,0,0,0,0,0,0,0,0,0,0,0,0,36.2826889,-82.4596547
Navassa Island,0,0,0,0,0,0,0,0,0,0,0,0,18.4100689,-75.0114612
Northern Mariana Islands,5863579,31577951,3689802,1519049,2170753,3051355,17286311,485749,0,0,0,2656502,15.0979,145.6739
Palmyra Atoll,0,0,0,0,0,0,0,0,0,0,0,0,5.8811111,-162.0725
Wake Island,0,0,0,0,0,0,0,0,0,0,0,0,19.2854467,166.6499348
Carriers serving Misc. U.S. points,7028970,34680452,4536954,2366201,2170753,3120198,17510342,523456,0,0,0,2694209,0,0
