country,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,latitude,longitude
Argentina,103950842,398331157,20865767,10769976,10095791,14974903,76683504,2013944,10592989,3144,10589845,22699580,-38.416097,-63.616672
Bolivia,22224267,160255460,14818977,13598999,1219978,1751511,7884381,390119,2605983,10674,2595309,4205406,-16.290154,-63.588653
Brazil,181532650,872698563,96475746,71872789,24602957,30972556,176861310,5438930,53409605,16928,53392677,83434564,-14.235004,-51.92528
Chile,25956939,178925308,15712286,15053458,658828,5323161,55283898,2958136,3807760,2045,3805715,7422679,-35.675147,-71.542969
Colombia,271928655,1883596426,94819685,80715236,14104449,9008883,70262778,2405571,3048213,294747,2753466,19263486,4.570868,-74.297333
Ecuador,61657087,373484214,50090910,44859196,5231714,307303,16483744,1961248,43172,35994,7178,7200140,-1.831239,-78.183406
French Guiana,5360714,6643395,961058,1255561,-294503,,20067,450,9455,3950,5505,-288548,3.933889,-53.125782
Guyana,23123379,71209013,13815104,17089336,-3274232,4405982,17277952,1551203,562763,210735,352028,-1371001,4.860416,-58.93018
Paraguay,6891784,42782403,2111167,1434163,677004,372049,2141292,89431,1544509,440,1544069,2310504,-23.442503,-58.443832
Peru,84212601,860299357,29252870,18824024,10428846,17822986,117969814,1994147,6397540,14360,6383180,18806173,-9.189967,-75.015152
Suriname,7275475,26774833,3787763,6281201,-2493438,781860,2424987,36155,101324,36945,64379,-2392904,3.919305,-56.027783
Uruguay,7562588,55272710,5986046,3549805,2436241,705185,13262573,329001,528634,125,528509,3293751,-32.522779,-55.765835
Venezuela,25202328,138398517,9378924,5807283,3571641,11679859,62179090,1309253,2520111,30988,2489123,7370017,6.42375,-66.58973
