country,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,latitude,longitude
Andorra,156481,570577,59649,46440,13209,,5973,240,92,32,60,13509,42.546245,1.601554
Austria,11608292,59206400,6942471,4314491,2627980,3015503,17233957,580388,2163782,456,2163326,5371694,47.516231,14.550072
Belgium,49378457,203409318,13232621,7176365,6056256,111505577,280394493,5643260,11861912,6143,11855769,23555285,50.503887,4.469936
Cyprus,2349961,13412584,851303,335534,515769,1310390,7286076,74883,205465,20113,185352,776004,35.126413,33.429859
Denmark,14702280,68246645,5515297,2453358,3061939,342176,4797418,181443,2670627,1259,2669368,5912750,56.26392,9.501785
Finland,6482663,40211348,3490402,2993777,496625,1159582,6338077,90660,101448,1466,99982,687267,61.92411,25.748151
France,146875571,578602689,38487031,20305204,18181827,61339800,352786621,5754860,14597191,74436,14522755,38459442,46.227638,2.213749
Germany,149621554,1122578926,62835185,45429155,17406030,99532271,859551147,14270528,56909136,35036,56874100,88550658,51.165691,10.451526
Gibraltar,298583,1106199,153290,78800,74490,47241,280393,5897,22403,746,21657,102044,36.137741,-5.345374
Greece,23746735,187251049,8987923,5126723,3861200,15180618,100851177,3128980,6509523,5220,6504303,13494483,39.074208,21.824312
Greenland,59752,108942,58268,64078,-5810,,560,316,1667,9,1658,-3836,71.706936,-42.604303
Iceland,1442413,8884250,672099,363799,308300,314637,3156069,63661,122,15,107,372068,64.963051,-19.020835
Ireland,36309390,222450799,17490939,10197376,7293563,27888461,174310459,4734598,1891134,2031,1889103,13917264,53.41291,-8.24389
Italy,70482991,413191207,32470005,20716122,11753883,87472632,405759393,8131637,39099750,38972,39060778,58946298,41.87194,12.56738
Liechtenstein,1185310,7650345,2064776,3561800,-1497024,,10919,772,7471,160,7311,-1488941,47.166,9.555373
Luxembourg,6340709,24049203,1510384,674381,836003,4792304,32958468,366390,6104760,318,6104442,7306835,49.815273,6.129583
Malta,859630,4328608,830676,246567,584109,172051,2586863,37334,1603,417,1186,622629,35.937496,14.375416
Netherlands,66284561,367122990,23424030,13669506,9754524,28155091,145629250,1594086,12116320,288138,11828182,23176792,52.132633,5.291266
Norway,27925424,135754923,12576084,9509128,3066956,18349602,87479379,1951029,4956678,4024,4952654,9970639,60.472024,8.468946
Portugal,13811092,108183966,5922094,3355564,2566530,6727765,36088823,703547,3260059,3131,3256928,6527005,39.399872,-8.224454
Spain,153981265,380757053,23044614,14771821,8272793,66554205,256669612,3634473,52537071,18558,52518513,64425779,40.463667,-3.74922
Sweden,18542771,130387988,8388830,4884493,3504337,9235022,74705641,774548,7622155,1504,7620651,11899536,60.128161,18.643501
Switzerland,34398392,198480362,16825985,10307280,6518705,39842887,154221922,2652144,13402728,7963,13394765,22565614,46.818188,8.227512
Turkey,30943797,160761419,9084103,4641592,4442511,7108849,30826123,452519,1497070,3637,1493433,6388463,38.963745,35.243322
United Kingdom,299291015,1782795324,123394202,58834647,64559555,203851887,1257793450,16774539,58681270,144556,58536714,139870808,55.378051,-3.435973
