country,messages_billed_us,minutes_billed_us,us_revenue_billed_us,payout_billed_us,retained_revenue_billed_us,messages_term_us,minutes_term_us,reciepts_foreign_term_us,reciepts_foreign_trans_us,payout_trans_us,retained_revenue_trans_us,retained_revenue_total,latitude,longitude,region,symsize,gid,sum_region,pct_country,pct_region,geom
India,4155250440,15924675029,460397957,324806582,135591375,493229542,1622577379,37242200,30510127,24264,30485863,203319438,20.593684,78.96288,Asia,1,67,22114816739,72.01,27.99,
Philippines,319926414,2073035963,247791260,263677882,-15886622,39610130,277894337,14440441,9195923,120419,9075504,7629323,12.879721,121.774017,Asia,1,79,22114816739,9.37,90.63,
Dominican Republic,281057450,2106136034,114478541,89701311,24777230,124602398,275449256,8943997,5468848,2225667,3243181,36964408,18.735693,-70.162651,Caribean,1,94,3779061301,55.73,44.27,
Canada,2570846122,8045563961,205927022,78657520,127269502,3250790988,10993768117,63840349,51206090,7610193,43595897,234705748,56.130366,-106.346771,North and Central America,1,151,18915487279,42.53,57.47,
Mexico,854992607,8147916490,542159932,360373335,181786597,378670088,1688976726,41306793,8154270,386043,7768227,230861617,23.634501,-102.552784,North and Central America,1,156,18915487279,43.08,56.92,
Colombia,271928655,1883596426,94819685,80715236,14104449,9008883,70262778,2405571,3048213,294747,2753466,19263486,4.570868,-74.297333,South America,1,214,5068671356,37.16,62.84,
United Kingdom,299291015,1782795324,123394202,58834647,64559555,203851887,1257793450,16774539,58681270,144556,58536714,139870808,55.378051,-3.435973,Western Europe,1,247,6219503114,28.66,71.34,
Egypt,61581782,320620081,29367186,30194785,-827599,5417391,22104621,300031,46871,300413,-253542,-781110,26.820553,30.802498,Africa,2,16,2382080338,13.46,86.54,
Nigeria,62258142,318561797,28052009,19514764,8537245,32391204,60064272,1993095,4957467,34100,4923367,15453707,9.081999,8.675277,Africa,2,37,2382080338,13.37,86.63,
China,221222361,1051104866,68563484,38256613,30306871,44915601,220479539,3565369,1374689,31180,1343509,35215749,35.86166,104.195397,Asia,2,64,22114816739,4.75,95.25,
Japan,81947138,432360902,38722148,29172307,9549841,55996497,352915940,10094718,4267754,91962,4175792,23820351,36.204824,138.252924,Asia,2,69,22114816739,1.96,98.04,
South Korea,62716782,284275690,19239141,14104487,5134654,63594760,306869248,12035003,3235012,50,3234962,20404619,35.907757,127.766922,Asia,2,71,22114816739,1.29,98.71,
Pakistan,61298942,286059585,15052890,11971365,3081525,11616096,87880044,1339653,2697353,4824541,-2127188,2293990,30.375321,69.345116,Asia,2,78,22114816739,1.29,98.71,
Taiwan,57813668,321764907,22435202,20664570,1770632,25482064,136132904,5059523,12534490,658,12533832,19363987,23.69781,120.960515,Asia,2,82,22114816739,1.45,98.55,
Haiti,126199516,525112113,99546203,98645809,900394,14434659,41976280,2632096,5278846,3636337,1642509,5174999,18.971187,-72.285215,Caribean,2,98,3779061301,13.90,86.10,
Jamaica,109824777,371535313,57241663,49764471,7477192,159490032,694862797,15012208,9010116,677592,8332524,30821924,18.109581,-77.297508,Caribean,2,99,3779061301,9.83,90.17,
Poland,175328489,663389331,28072036,21104515,6967521,1958244,29713539,435365,925771,7705,918066,8320952,51.919438,19.145136,Eastern Europe,2,127,1670724339,39.71,60.29,
Israel,41046503,273787620,20316195,14271056,6045139,55984424,304339089,5282073,7466782,21300,7445482,18772694,31.046051,34.851612,Middle East,2,140,1425303635,19.21,80.79,
Lebanon,46227429,311259468,32671186,29125416,3545770,1176488,26108157,2315574,103577,37533,66044,5927388,33.854721,35.862285,Middle East,2,143,1425303635,21.84,78.16,
Costa Rica,56154640,293826109,16958183,21184312,-4226129,9683041,45664760,2223367,5510,1379,4131,-1998631,9.748917,-83.753428,North and Central America,2,152,18915487279,1.55,98.45,
El Salvador,55084576,411062438,57454814,52639767,4815047,111250334,589300491,14986684,2191782,804,2190978,21992709,13.794185,-88.89653,North and Central America,2,153,18915487279,2.17,97.83,
Guatemala,198654915,1404803568,148606874,112099192,36507682,52135836,254430457,6439870,1125073,116246,1008827,43956379,15.783471,-90.230759,North and Central America,2,154,18915487279,7.43,92.57,
Honduras,52698993,315487944,44973656,38745360,6228296,25212436,120345759,3952885,2689134,29979,2659155,12840336,15.199999,-86.241905,North and Central America,2,155,18915487279,1.67,98.33,
Australia,154841332,530605573,41112576,17407246,23705330,51136564,436399622,6534835,7122160,4378,7117782,37357947,-25.274398,133.775136,Oceania,2,162,770323435,68.88,31.12,
Argentina,103950842,398331157,20865767,10769976,10095791,14974903,76683504,2013944,10592989,3144,10589845,22699580,-38.416097,-63.616672,South America,2,210,5068671356,7.86,92.14,
Brazil,181532650,872698563,96475746,71872789,24602957,30972556,176861310,5438930,53409605,16928,53392677,83434564,-14.235004,-51.92528,South America,2,212,5068671356,17.22,82.78,
Ecuador,61657087,373484214,50090910,44859196,5231714,307303,16483744,1961248,43172,35994,7178,7200140,-1.831239,-78.183406,South America,2,215,5068671356,7.37,92.63,
Peru,84212601,860299357,29252870,18824024,10428846,17822986,117969814,1994147,6397540,14360,6383180,18806173,-9.189967,-75.015152,South America,2,219,5068671356,16.97,83.03,
France,146875571,578602689,38487031,20305204,18181827,61339800,352786621,5754860,14597191,74436,14522755,38459442,46.227638,2.213749,Western Europe,2,229,6219503114,9.30,90.70,
